Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),PLENUM-1:Zone Mean Air Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Relative Humidity [%](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Relative Humidity [%](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Relative Humidity [%](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Relative Humidity [%](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Relative Humidity [%](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,-8.2625,0.0,0.0,0.0,0.0,0.0,16.948463365851218,-1.0038161650176254,17.997588031482437,-1.2205044336252686,17.998580830738504,-1.1485930196805023,17.997179260331237,-1.2271742174894722,17.999829663946745,-1.141790899141728,19.19940419115584,-1.0323897969196827,16.948463365851218,29.120397869492614,557.6052985742217,0.0,17.997588031482437,26.76748080012125,720.3416422065536,0.0,17.998580830738504,26.926179677524974,215.34889154142024,0.0,17.997179260331237,26.753347969420403,685.1500698849078,0.0,17.999829663946745,26.93927267076842,215.3175411971859,0.0,19.19940419115584,25.21765939528599,0.0,123.36014763445093,0.0,1399.5836608772424,0.0,0.0,749.0663095499918,239.61413403029437,712.3155659432646,242.18538887493042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.5836608772424,1749.4795760965528,0.0,0.0,7.22,7.22,0.0,0.0,53.49399971416901,0.011430646074464618,7.22,0.0,16.632244584132607,0.0035238651092321317,-1.0685446054915082,17.636656154056052,0.3705044250126874,0.0035238651092321317,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-8.2625,0.00621144618492455,0.001422288734241492,11.5,-8.2625,0.00621144618492455,0.001422288734241492,4.5,3075615.256267583,1354960.257918031 
 01/01  02:00:00,-11.8875,0.0,0.0,0.0,0.0,0.0,16.514521053133915,-1.3247358163479495,17.999961314076117,-1.5692402576383708,17.99996995008631,-1.4833602435350695,18.00043645486908,-1.5781139329139307,18.00049664027144,-1.4733675734773053,18.973390902931396,-1.545897106680846,16.514521053133915,29.146909309330645,712.0740532043931,0.0,17.999961314076117,25.998440320902557,983.5689703580133,0.0,17.99996995008631,26.184969235311154,350.1298353089865,0.0,18.00043645486908,25.978472554356426,937.8155017611821,0.0,18.00049664027144,26.205909086147184,350.1782119919777,0.0,18.973390902931396,24.507296104470274,0.0,143.3373363052425,0.0,2751.2913522558847,0.0,0.0,1050.6239262855156,406.6373409258966,1001.3369681512665,412.5700648926697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751.2913522558847,3439.114190319856,0.0,0.0,7.22,7.22,0.0,0.0,46.24961676587535,0.018389532063902335,7.22,0.0,16.152458812820665,0.003428479122186288,-1.366949808062183,17.157046509637507,0.3705044250126874,0.003428479122186288,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.00621144618492455,0.0010028609043981412,11.5,-11.8875,0.00621144618492455,0.0010028609043981412,4.5,3082050.6854387373,1354960.257918031 
 01/01  03:00:00,-11.325,0.0,0.0,0.0,0.0,0.0,16.034908591119724,-1.7300052705166478,17.99947905739131,-1.9339060885384076,17.999288817506994,-1.8503775411473717,18.00019977776533,-1.9434957337777687,17.999751357755176,-1.8416287668244178,18.841317104017932,-2.0032169716615043,16.034908591119724,29.054632476793156,879.5115569516724,0.0,17.99947905739131,25.220088463319414,1059.7197269806443,0.0,17.999288817506994,25.396998622266047,395.73182106526957,0.0,18.00019977776533,25.198742799611956,1013.7404218656096,0.0,17.999751357755176,25.414835385654634,395.6542762371257,0.0,18.841317104017932,23.785032915863386,0.0,168.81103219524584,0.0,3249.1779594596583,0.0,0.0,1162.9020703089463,482.69673779900194,1111.4833029446563,491.65107196503334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3249.1779594596583,4061.4724493245726,0.0,0.0,7.22,7.22,0.0,0.0,45.81824448519319,0.021485432658686705,7.22,0.0,15.696842925429184,0.003315333235683851,-1.7705857483704812,16.70163961978282,0.3705044250126874,0.003315333235683851,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.325,0.00621144618492455,0.0010552609473343869,11.5,-11.325,0.00621144618492455,0.0010552609473343869,4.5,3084924.4432354853,1354960.257918031 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,15.596856851045292,-2.09341882431068,18.000325735903385,-2.2770950394869236,17.9997994669475,-2.2107610526953243,18.000782135156534,-2.2855041728073466,17.9997659210221,-2.2042456086483844,18.72124441268894,-2.381586368919608,15.596856851045292,28.98726014459346,1034.7693347179602,0.0,18.000325735903385,24.505224234707242,1138.683756556783,0.0,17.9997994669475,24.64257461279105,435.18306251021994,0.0,18.000782135156534,24.487273473947056,1092.7416167604083,0.0,17.9997659210221,24.65606251693096,434.78710055845374,0.0,18.72124441268894,23.217108347342887,0.0,194.50878437519287,0.0,3645.3183896054643,0.0,0.0,1277.3568509886982,552.0654083870463,1224.0635316723,563.76136101029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645.3183896054643,4556.647987006831,0.0,0.0,7.22,7.22,0.0,0.0,46.71945866124135,0.02472704585418661,7.22,0.0,15.250402808117823,0.0032151471333195644,-2.14034264488668,16.25538463338573,0.3705044250126874,0.0032151471333195644,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.1,0.00621144618492455,0.001077079816545153,11.5,-11.1,0.00621144618492455,0.001077079816545153,4.5,3087945.854236033,1354960.257918031 
 01/01  05:00:00,-10.7875,0.0,0.0,0.0,0.0,0.0,15.252596997364614,-2.4632373477667278,17.999612278116796,-2.65373189705313,18.00004599523783,-2.5848387601335,17.999998219938313,-2.6619848189768183,18.000521135739938,-2.5771307485311707,18.60497550746477,-2.7816093060316165,15.252596997364614,28.731247014641745,1153.326897355409,0.0,17.999612278116796,23.74433915310184,1192.3734697956663,0.0,18.00004599523783,23.881418233966787,460.57625656371437,0.0,17.999998219938313,23.72732369656764,1145.4599024473514,0.0,18.000521135739938,23.896147979486557,460.87134042078713,0.0,18.60497550746477,22.61462021377971,0.0,205.11959185283035,0.0,3884.0485911755413,0.0,0.0,1350.9374137831967,594.2931042941335,1295.6072500364617,608.4592200355348,0.0,0.0,39.40639620055347,0.0,0.0,0.0,0.0,3884.0485911755413,4855.060738969427,0.0,0.0,7.22,7.22,0.0,0.0,47.69218240141248,0.027082001208292246,7.22,0.0,14.893702940876809,0.0031198458333979344,-2.4977625484593107,16.004104074874164,0.3705044250126874,0.0031198458333979344,16.0,82.0,0.0,0.0002026400453089103,0.0,7.22,0.0,-10.7875,0.00621144618492455,0.0011077366177627828,11.5,-10.7875,0.00621144618492455,0.0011077366177627828,4.5,3090145.702573479,1354960.257918031 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.996593929153216,-2.837639976516334,18.000242338747316,-3.0190323314892393,17.99951374464366,-2.9502416650574803,18.000498987290324,-3.0272626469114643,17.999670262950787,-2.9427460295163232,18.540290169510378,-3.1604160286866554,14.996593929153216,28.304389523328446,1243.2171419288495,0.0,18.000242338747316,23.025023338255387,1217.6542302226012,0.0,17.99951374464366,23.159829779495276,472.00326124391813,0.0,18.000498987290324,23.008689281741034,1170.074632852756,0.0,17.999670262950787,23.1742293004157,472.2980756113174,0.0,18.540290169510378,21.993746803375466,0.0,200.3096730300669,0.0,4055.7657127645116,0.0,0.0,1376.5668486313677,605.9374364236548,1320.542324551581,620.1023352374027,0.0,0.0,138.56914256045005,0.0,0.0,0.0,0.0,4055.7657127645116,5069.707140955639,0.0,0.0,7.22,7.22,0.0,0.0,48.01719621207158,0.02854992847121867,7.22,0.0,14.624477498001093,0.0030229873325994306,-2.8713298818592823,15.999947630298053,0.3705044250126874,0.0030229873325994306,16.0,82.0,0.0,0.000780435561646976,0.0,7.22,0.0,-10.6,0.00621144618492455,0.0011263833763957194,11.5,-10.6,0.00621144618492455,0.0011263833763957194,4.5,3091514.678384556,1354960.257918031 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.811610505150629,-4.103891463005752,18.00223859781331,-5.835627622853737,18.003112848956793,-7.297024267775063,18.001777782095672,-5.7385835402679355,18.002516348388763,-7.5410818102171016,18.46875207525124,-4.9755879628753314,14.811610505150629,25.806976111043966,1307.4135441085366,0.0,18.00223859781331,18.225887171555744,1264.12368760363,0.0,18.003112848956793,16.17559000651506,492.7017351343459,0.0,18.001777782095672,18.371123959986598,1215.1873356877315,0.0,18.002516348388763,15.854734949805621,492.17434505895653,0.0,18.46875207525124,18.983645564604128,0.0,204.65240695812867,0.0,14116.126926091833,0.0,0.0,1430.1525383603414,634.1497214500356,1372.2677152986532,648.3358988749092,0.0,4722.156916899633,3242.2667996424493,0.0,0.0,0.0,0.0,14116.126926091833,17645.15865761479,0.0,0.0,7.22,7.22,0.0,0.0,64.06563559311181,0.18580082470856768,7.22,0.0,6.178142857300635,0.0014421246263336238,-11.361663688585468,15.872042107807257,0.3705044250126874,0.0014421246263336238,16.0,82.0,0.08536536172363601,0.06963364876232289,0.0,7.22,0.0,4.498914999058848,0.31057230924622753,0.0011650308833787495,11.5,4.498914999058848,0.31057230924622753,0.0011650308833787495,4.5,3239142.557934094,1354960.257918031 
 01/01  08:00:00,-10.225,0.0,0.0,0.0,0.0,0.0,14.683628573282654,-8.182497259446404,18.000822792343364,-9.463074986667102,17.99983314473895,-11.138051217976807,18.00054393743686,-9.300279498242661,18.00094033803895,-11.298289581477713,18.440044764480916,-7.6896141643115135,14.683628573282654,18.313474911020403,1349.353870634805,0.0,18.000822792343364,13.225313031092288,1203.1898343827497,0.0,17.99983314473895,11.383349683402173,283.45570153958477,13.344636030832532,18.00054393743686,13.417479775792664,1165.5881948021574,0.0,18.00094033803895,11.218446972344234,471.2390124760388,0.0,18.440044764480916,15.02926504762666,0.0,192.13040883055203,0.0,11535.795198747042,0.0,0.0,1360.6509043450374,403.5788589418244,1314.5596691152014,618.5959141972986,0.0,4605.807304010102,3298.4968236068485,0.0,0.0,0.0,0.0,11535.795198747042,14419.743998433802,0.0,0.0,7.22,7.22,0.0,0.0,65.80618680724481,0.17004353817460796,7.22,0.0,6.153661538851873,0.0013680222295366566,-11.947932133371435,15.999540381076578,0.3705044250126874,0.0013680222295366566,16.0,82.0,0.07638120315182009,0.06774008014054253,0.0,7.22,0.0,4.500164371539584,0.31057230924622753,0.001228779734699374,11.5,4.500164371539584,0.31057230924622753,0.001228779734699374,4.5,3224542.132227914,1354960.257918031 
 01/01  09:00:00,-9.3125,11.0,5.0,11.0,5.0,20.0,15.48888017176182,-9.179418616515262,19.48378181877696,-8.210995432069247,20.173622855487316,-9.221157988379378,19.4799231440609,-8.077735664177197,19.478621498975308,-9.47818663457783,20.246835874103184,-6.4158443855562215,15.48888017176182,15.885423912214677,2889.1072412257963,0.0,19.48378181877696,13.462500547150153,872.3802383093384,42.03927032532641,20.173622855487316,11.792294231368405,50.57386680654233,269.41609787742203,19.4799231440609,13.623409467719235,931.1981002135611,39.785002179301934,19.478621498975304,12.04018033299152,426.31308223607084,38.130795374110505,20.24683587410318,15.008825588736963,104.85469219564159,323.4025991637336,0.0,10564.027174839288,0.0,0.0,1105.395864932082,60.02373557410152,1151.3647556595326,644.2544156169668,115.69937757223602,4320.608877688529,3259.6559433847297,0.0,0.0,0.0,0.0,10564.027174839288,13205.03396854911,0.0,0.0,7.22,7.22,0.0,0.0,66.79025780846206,0.17052124017497117,7.22,0.0,6.2578065745019735,0.0013408892455616989,-12.168895171208103,16.000110019464888,0.3705044250126874,0.0013408892455616989,16.0,82.0,0.06614912791730596,0.06547272131248388,0.0,7.22,0.0,4.499884156765206,0.31057230924622753,0.001266980042480877,11.5,4.499884156765206,0.31057230924622753,0.001266980042480877,4.5,33015119.85795011,1354960.257918031 
 01/01  10:00:00,-7.525,11.0,5.0,11.0,5.0,20.0,16.567597695291347,-6.212596800159995,20.243680155003858,-5.039352208481331,22.5386181463491,-6.111364104159106,20.00770494651928,-4.8936355084450565,20.000603229664335,-7.041640665506838,21.802971284046485,-2.713515167000071,16.567597695291347,19.22806938849903,3001.0765174558355,0.0,20.243680155003858,16.875084979338833,0.0,305.45454143136953,22.5386181463491,13.365573847536407,0.0,437.356182033058,20.00770494651928,17.34733431242136,11.744632872310016,163.34587071732204,20.000603229664335,14.413632408998803,1.8648971949499658,98.32362754581527,21.802971284046485,18.6860191010973,0.0,457.594907885047,0.0,7334.615199040327,0.0,0.0,31.2153238923508,0.0,149.19398618169768,198.4937805660292,0.0,3761.636829700297,3194.5153747881086,0.0,0.0,0.0,0.0,7334.615199040327,9168.26899880041,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,66.57783588956337,0.11346302862318533,7.219999999999999,0.0,6.434158897626321,0.0014416114044720346,-11.36836929825387,16.000150093497396,0.3705044250126874,0.0014416114044720346,16.0,82.0,0.049690424920217066,0.06185062712479384,0.0,7.219999999999999,0.0,4.499784997130448,0.31057230924622753,0.00129622204152932,11.5,4.499784997130448,0.31057230924622753,0.00129622204152932,4.5,43311489.2489004,1354960.257918031 
