timestamp,simulation_time,outdoor_temperature,occupancy,avg_occupied_temperature,min_occupied_temperature,max_occupied_temperature,heating_setpoint,cooling_setpoint,hvac_power_kw,hvac_electricity_kwh,cooling_electricity_kwh,fans_electricity_kwh,pumps_electricity_kwh,heating_natural_gas_kwh,heating_demand_kwh,cooling_demand_kwh,total_hvac_site_energy_kwh,carbon_intensity,carbon_level,electricity_carbon_kg,gas_carbon_kg,total_hvac_carbon_kg,comfort_violation,ai_call,semantic_modified,semantic_correction_count,safety_modified,safety_correction_count
2026-07-26T19:07:18.973633,01/01 00:15,-4.32,0.0,,,,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,low,0.0,0.0,0.0,0,1,True,1,True,1
2026-07-26T19:07:33.065161,01/01 06:15,-10.6,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.001892,1.292264,1.029441,0.0,1.386359,0.43,moderate,0.04046,0.2339,0.27436,0,2,True,1,False,0
2026-07-26T19:07:48.352735,01/01 12:15,-3.02,41.6,22.79,22.0,23.84,22.0,26.0,0.3764,0.094094,0.0,0.094094,0.005274,1.912643,1.541294,0.0,2.006737,0.3,low,0.028228,0.346188,0.374417,0,3,False,0,False,0
2026-07-26T19:08:04.738038,01/01 18:15,-1.82,52.0,22.37,22.0,23.82,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.004852,2.006885,1.618936,0.0,2.100979,0.55,high,0.051752,0.363246,0.414998,0,4,True,2,False,0
2026-07-26T19:08:21.687502,01/02 00:15,-2.25,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.002703,1.646738,1.320108,0.0,1.740833,0.34,low,0.031992,0.29806,0.330052,0,5,True,1,True,1
2026-07-26T19:08:38.981347,01/02 06:15,-0.98,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.000713,0.600044,0.483801,0.0,0.694138,0.43,moderate,0.04046,0.108608,0.149068,0,6,True,1,False,0
2026-07-26T19:08:56.834686,01/02 12:15,1.7,41.6,22.37,22.0,23.64,22.0,26.0,0.3764,0.094094,0.0,0.094094,0.00385,1.266211,1.009456,0.0,1.360305,0.3,low,0.028228,0.229184,0.257412,0,7,False,0,False,0
2026-07-26T19:09:15.407841,01/02 18:15,-0.3,52.0,22.29,22.0,23.44,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.004722,2.016459,1.61873,0.0,2.110554,0.55,high,0.051752,0.364979,0.416731,0,8,True,2,False,0
2026-07-26T19:09:32.843481,01/03 00:15,0.0,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.002215,1.455432,1.151674,0.0,1.549527,0.34,low,0.031992,0.263433,0.295425,0,9,True,1,True,1
2026-07-26T19:09:49.492580,01/03 06:15,-2.48,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.000834,0.695491,0.54818,0.0,0.789586,0.43,moderate,0.04046,0.125884,0.166344,0,10,True,1,False,0
2026-07-26T19:10:07.596193,01/03 12:15,-3.17,41.6,22.27,22.0,23.34,22.0,26.0,0.3764,0.094094,0.0,0.094094,0.00524,1.940174,1.558155,0.0,2.034268,0.3,low,0.028228,0.351171,0.3794,0,11,False,0,False,0
2026-07-26T19:10:25.874318,01/03 18:15,-2.8,52.0,22.31,22.0,23.55,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.005436,2.31206,1.862455,0.0,2.406154,0.55,high,0.051752,0.418483,0.470235,0,12,True,1,False,0
2026-07-26T19:10:42.454625,01/04 00:15,-2.8,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.003274,1.865487,1.499895,0.0,1.959582,0.34,low,0.031992,0.337653,0.369645,0,13,True,1,True,1
2026-07-26T19:10:59.442792,01/04 06:15,-3.17,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.000975,0.776379,0.624011,0.0,0.870473,0.43,moderate,0.04046,0.140525,0.180985,0,14,True,1,False,0
2026-07-26T19:11:17.621613,01/04 12:15,-0.98,41.6,22.29,22.0,23.44,22.0,26.0,0.3764,0.094094,0.0,0.094094,0.004598,1.66529,1.333905,0.0,1.759384,0.3,low,0.028228,0.301417,0.329646,0,15,False,0,False,0
2026-07-26T19:11:35.101595,01/04 18:15,-4.17,52.0,22.2,22.0,22.98,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.006317,2.755067,2.215601,0.0,2.849161,0.55,high,0.051752,0.498667,0.550419,0,16,True,2,False,0
2026-07-26T19:11:51.146040,01/05 00:15,-7.2,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.004699,2.316438,1.863815,0.0,2.410532,0.34,low,0.031992,0.419275,0.451267,0,17,True,1,True,1
2026-07-26T19:12:07.102491,01/05 06:15,-14.55,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.002258,1.460998,1.157777,0.0,1.555092,0.43,moderate,0.04046,0.264441,0.304901,0,18,True,1,False,0
2026-07-26T19:12:24.483491,01/05 12:15,-7.52,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.000376,0.266056,0.249828,0.0,0.360151,0.3,low,0.028228,0.048156,0.076384,0,19,False,0,False,0
2026-07-26T19:12:40.593939,01/05 18:15,-5.15,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.000586,0.489776,0.392927,0.0,0.583871,0.55,high,0.051752,0.088649,0.140401,0,20,False,0,False,0
2026-07-26T19:12:56.789720,01/06 00:15,-10.28,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.001767,1.237581,0.987538,0.0,1.331676,0.34,low,0.031992,0.224002,0.255994,0,21,False,0,False,0
2026-07-26T19:13:12.554575,01/06 06:15,-14.4,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.002802,1.572959,1.25615,0.0,1.667054,0.43,moderate,0.04046,0.284706,0.325166,0,22,False,0,False,0
2026-07-26T19:13:27.926872,01/06 12:15,-11.25,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.000478,0.307987,0.307794,0.0,0.402081,0.3,low,0.028228,0.055746,0.083974,0,23,False,0,False,0
2026-07-26T19:13:43.531098,01/06 18:15,-16.0,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.001941,1.343213,1.056235,0.0,1.437307,0.55,high,0.051752,0.243122,0.294873,0,24,False,0,False,0
2026-07-26T19:13:59.860997,01/07 00:15,-18.9,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.004591,2.06362,1.651824,0.0,2.157715,0.34,low,0.031992,0.373515,0.405507,0,25,False,0,False,0
2026-07-26T19:14:16.382435,01/07 06:15,-22.35,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.006152,2.407492,1.933676,0.0,2.501586,0.43,moderate,0.04046,0.435756,0.476216,0,26,False,0,False,0
2026-07-26T19:14:33.082804,01/07 12:23,-14.12,41.6,22.57,22.0,23.79,22.0,26.0,0.3764,0.094094,0.0,0.094094,0.013794,3.426635,2.759519,0.0,3.52073,0.3,low,0.028228,0.620221,0.648449,0,27,False,0,False,0
2026-07-26T19:14:49.792208,01/07 18:15,-17.1,52.0,22.18,22.0,22.89,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.017184,4.412795,3.554135,0.0,4.50689,0.55,high,0.051752,0.798716,0.850468,0,28,True,2,False,0
