timestamp,simulation_time,outdoor_temperature,occupancy,avg_occupied_temperature,min_occupied_temperature,max_occupied_temperature,heating_setpoint,cooling_setpoint,hvac_power_kw,hvac_electricity_kwh,cooling_electricity_kwh,fans_electricity_kwh,pumps_electricity_kwh,heating_natural_gas_kwh,heating_demand_kwh,cooling_demand_kwh,total_hvac_site_energy_kwh,carbon_intensity,carbon_level,electricity_carbon_kg,gas_carbon_kg,total_hvac_carbon_kg,comfort_violation
2026-07-26T19:07:06.106826,01/01 00:15,-4.32,0.0,,,,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,low,0.0,0.0,0.0,0
2026-07-26T19:07:19.021914,01/01 01:15,-12.07,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.00101,0.67354,0.631195,0.0,0.767634,0.34,low,0.031992,0.121911,0.153903,0
2026-07-26T19:07:19.035270,01/01 02:15,-11.55,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001286,0.947456,0.764757,0.0,1.04155,0.34,low,0.031992,0.17149,0.203481,0
2026-07-26T19:07:19.046266,01/01 03:15,-11.1,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001438,1.046924,0.836496,0.0,1.141018,0.34,low,0.031992,0.189493,0.221485,0
2026-07-26T19:07:19.056704,01/01 04:15,-10.97,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001685,1.186207,0.941467,0.0,1.280301,0.34,low,0.031992,0.214703,0.246695,0
2026-07-26T19:07:19.067769,01/01 05:15,-10.6,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001781,1.23113,0.989137,0.0,1.325224,0.34,low,0.031992,0.222835,0.254826,0
2026-07-26T19:07:19.077784,01/01 06:15,-10.6,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001892,1.292264,1.029441,0.0,1.386358,0.43,moderate,0.04046,0.2339,0.27436,0
2026-07-26T19:07:33.093010,01/01 07:15,-10.45,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.011569,3.763216,3.030162,0.0,3.85731,0.43,moderate,0.04046,0.681142,0.721603,0
2026-07-26T19:07:33.112010,01/01 08:15,-9.72,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.010655,3.430506,2.754204,0.0,3.5246,0.43,moderate,0.04046,0.620922,0.661382,0
2026-07-26T19:07:33.135017,01/01 09:23,-8.35,52.0,22.0,22.0,22.0,22.0,26.0,0.3764,0.094094,0.0,0.094094,0.012485,4.307367,3.548858,0.0,4.401461,0.43,moderate,0.04046,0.779633,0.820094,0
