timestamp,simulation_time,outdoor_temperature,occupancy,avg_occupied_temperature,min_occupied_temperature,max_occupied_temperature,heating_setpoint,cooling_setpoint,hvac_power_kw,hvac_electricity_kwh,cooling_electricity_kwh,fans_electricity_kwh,pumps_electricity_kwh,heating_natural_gas_kwh,heating_demand_kwh,cooling_demand_kwh,total_hvac_site_energy_kwh,carbon_intensity,carbon_level,electricity_carbon_kg,gas_carbon_kg,total_hvac_carbon_kg,comfort_violation
2026-07-26T03:44:55.157421,01/01 00:15,-4.32,0.0,,,,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,low,0.0,0.0,0.0,0
2026-07-26T03:45:45.673182,01/01 01:15,-12.07,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001011,0.674448,0.631936,0.0,0.768542,0.34,low,0.031992,0.122075,0.154067,0
2026-07-26T03:45:45.700298,01/01 02:15,-11.55,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001286,0.947565,0.764752,0.0,1.041659,0.34,low,0.031992,0.171509,0.203501,0
2026-07-26T03:45:45.723501,01/01 03:15,-11.1,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001438,1.046934,0.836493,0.0,1.141028,0.34,low,0.031992,0.189495,0.221487,0
2026-07-26T03:45:45.744293,01/01 04:15,-10.97,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001685,1.186205,0.941464,0.0,1.280299,0.34,low,0.031992,0.214703,0.246695,0
2026-07-26T03:45:45.766797,01/01 05:15,-10.6,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001781,1.23111,0.989121,0.0,1.325204,0.34,low,0.031992,0.222831,0.254823,0
2026-07-26T03:45:45.785338,01/01 06:15,-10.6,0.0,,,,18.0,27.0,0.3764,0.094094,0.0,0.094094,0.001892,1.292238,1.02943,0.0,1.386332,0.43,moderate,0.04046,0.233895,0.274355,0
2026-07-26T03:46:04.785457,01/01 07:15,-10.45,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.011569,3.763214,3.030161,0.0,3.857308,0.43,moderate,0.04046,0.681142,0.721602,0
2026-07-26T03:46:04.812457,01/01 08:15,-9.72,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.010666,3.435351,2.758444,0.0,3.529445,0.43,moderate,0.04046,0.621799,0.662259,0
2026-07-26T03:46:04.839462,01/01 09:23,-8.35,52.0,19.54,18.52,20.99,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.008251,2.299051,1.859355,0.0,2.393145,0.43,moderate,0.04046,0.416128,0.456589,1
2026-07-26T03:46:04.863455,01/01 10:23,-6.28,52.0,20.93,19.42,23.16,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.006813,2.061769,1.671713,0.0,2.155863,0.3,low,0.028228,0.37318,0.401408,1
2026-07-26T03:46:04.883954,01/01 11:23,-4.58,52.0,21.82,20.04,24.12,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.005883,1.880607,1.522126,0.0,1.974701,0.3,low,0.028228,0.34039,0.368618,0
2026-07-26T03:46:04.904956,01/01 12:15,-3.02,41.6,22.09,20.39,23.68,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.005142,1.702125,1.375381,0.0,1.796219,0.3,low,0.028228,0.308085,0.336313,0
2026-07-26T03:46:26.354007,01/01 13:15,-1.93,20.8,21.61,20.29,22.68,20.0,27.0,0.3764,0.094094,0.0,0.094094,0.004705,1.587531,1.278863,0.0,1.681625,0.3,low,0.028228,0.287343,0.315571,0
2026-07-26T03:46:26.378429,01/01 14:15,-1.1,41.6,21.98,20.82,23.36,20.0,27.0,0.3764,0.094094,0.0,0.094094,0.004332,1.470106,1.184222,0.0,1.5642,0.3,low,0.028228,0.266089,0.294317,0
2026-07-26T03:46:26.401223,01/01 15:15,-1.1,52.0,22.17,21.12,23.77,20.0,27.0,0.3764,0.094094,0.0,0.094094,0.004246,1.45878,1.176481,0.0,1.552874,0.3,low,0.028228,0.264039,0.292267,0
2026-07-26T03:46:26.423358,01/01 16:15,-1.1,52.0,22.02,21.08,23.88,20.0,27.0,0.3764,0.094094,0.0,0.094094,0.004199,1.454867,1.172284,0.0,1.548961,0.55,high,0.051752,0.263331,0.315083,0
2026-07-26T03:46:26.443895,01/01 17:15,-1.25,52.0,21.68,20.77,23.73,20.0,27.0,0.3764,0.094094,0.0,0.094094,0.004188,1.454664,1.171258,0.0,1.548758,0.55,high,0.051752,0.263294,0.315046,0
2026-07-26T03:46:26.463899,01/01 18:15,-1.82,52.0,21.53,20.64,23.7,20.0,27.0,0.3764,0.094094,0.0,0.094094,0.004345,1.514204,1.219385,0.0,1.608298,0.55,high,0.051752,0.274071,0.325823,0
2026-07-26T03:46:50.403507,01/01 19:15,-1.93,26.0,20.45,20.0,22.24,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.004773,1.730612,1.420464,0.0,1.824706,0.55,high,0.051752,0.313241,0.364992,0
2026-07-26T03:46:50.433499,01/01 20:15,-1.25,0.0,,,,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.005837,2.497332,2.015349,0.0,2.591426,0.55,high,0.051752,0.452017,0.503769,0
2026-07-26T03:46:50.460495,01/01 21:15,-1.55,0.0,,,,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.001376,0.90299,0.773828,0.0,0.997084,0.4,moderate,0.037638,0.163441,0.201079,0
2026-07-26T03:46:50.488506,01/01 22:15,-1.25,0.0,,,,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.00213,1.380718,1.097922,0.0,1.474812,0.4,moderate,0.037638,0.24991,0.287548,0
2026-07-26T03:46:50.513504,01/01 23:15,-1.7,0.0,,,,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.002522,1.569334,1.251875,0.0,1.663428,0.4,moderate,0.037638,0.284049,0.321687,0
2026-07-26T03:46:50.542501,01/02 00:15,-2.25,0.0,,,,20.0,26.0,0.3764,0.094094,0.0,0.094094,0.002748,1.666373,1.334324,0.0,1.760467,0.34,low,0.031992,0.301614,0.333605,0
2026-07-26T03:47:12.078511,01/02 01:15,-3.62,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,2.9e-05,0.017483,0.025556,0.0,0.111577,0.34,low,0.031992,0.003164,0.035156,0
2026-07-26T03:47:12.104359,01/02 02:15,-2.92,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.000431,0.308354,0.313747,0.0,0.402448,0.34,low,0.031992,0.055812,0.087804,0
2026-07-26T03:47:12.129329,01/02 03:15,-3.17,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.000615,0.496695,0.427482,0.0,0.590789,0.34,low,0.031992,0.089902,0.121894,0
2026-07-26T03:47:12.154520,01/02 04:15,-2.37,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.000665,0.55844,0.458349,0.0,0.652534,0.34,low,0.031992,0.101078,0.13307,0
2026-07-26T03:47:12.176788,01/02 05:15,-1.1,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.000724,0.609523,0.489938,0.0,0.703617,0.34,low,0.031992,0.110324,0.142316,0
2026-07-26T03:47:12.200195,01/02 06:15,-0.98,0.0,,,,18.0,28.0,0.3764,0.094094,0.0,0.094094,0.000717,0.602806,0.48478,0.0,0.6969,0.43,moderate,0.04046,0.109108,0.149568,0
2026-07-26T03:47:32.614504,01/02 07:15,-0.6,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.005767,2.126266,1.704622,0.0,2.22036,0.43,moderate,0.04046,0.384854,0.425315,0
2026-07-26T03:47:32.637945,01/02 08:15,-0.45,0.0,,,,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.005682,2.061996,1.655759,0.0,2.15609,0.43,moderate,0.04046,0.373221,0.413682,0
2026-07-26T03:47:32.662466,01/02 09:15,0.15,52.0,19.58,19.09,21.06,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.004725,1.42688,1.149075,0.0,1.520974,0.43,moderate,0.04046,0.258265,0.298726,1
2026-07-26T03:47:32.691256,01/02 10:15,0.88,52.0,20.88,20.2,22.54,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.004417,1.350934,1.088211,0.0,1.445028,0.3,low,0.028228,0.244519,0.272747,0
2026-07-26T03:47:32.715250,01/02 11:15,1.7,52.0,21.57,20.86,23.17,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.004043,1.229571,0.98847,0.0,1.323665,0.3,low,0.028228,0.222552,0.250781,0
2026-07-26T03:47:32.737306,01/02 12:15,1.7,41.6,21.92,21.19,23.41,18.0,29.0,0.3764,0.094094,0.0,0.094094,0.003898,1.208177,0.97648,0.0,1.302271,0.3,low,0.028228,0.21868,0.246908,0
