Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),PLENUM-1:Zone Mean Air Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Relative Humidity [%](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Relative Humidity [%](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Relative Humidity [%](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Relative Humidity [%](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Relative Humidity [%](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,-8.2625,0.0,0.0,0.0,0.0,0.0,16.653411900395895,-0.7996212711986512,17.999743401800323,-1.0159501368945558,17.999434237204365,-0.9443837457735722,17.999606137585655,-1.0237357329917929,17.999593477152466,-0.9376455032361051,19.07333832776456,-0.8419815387447385,16.653411900395895,30.17754715685857,668.7434418899002,0.0,17.999743401800323,27.222294469411775,727.4311295298237,0.0,17.999434237204365,27.384926863054254,253.31059556137808,0.0,17.999606137585655,27.204950514597776,696.1871095231324,0.0,17.999593477152466,27.39994265177574,253.51367866210728,0.0,19.07333832776456,25.821302880843803,0.0,138.35498540452767,0.0,1862.1030655688219,0.0,0.0,781.4424683971617,298.81328122140394,747.3128421922096,303.7359532234568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862.1030655688219,2327.628831961027,0.0,0.0,7.22,7.22,0.0,0.0,47.388313128545796,0.012700565359230927,7.22,0.0,16.31651868014804,0.0035844505354507986,-0.8641863376034905,17.320818414550324,0.3705044250126874,0.0035844505354507986,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-8.2625,0.00621144618492455,0.001422288734241492,11.5,-8.2625,0.00621144618492455,0.001422288734241492,4.5,3076767.385036532,1354960.257918031 
 01/01  02:00:00,-11.8875,0.0,0.0,0.0,0.0,0.0,16.299065284193308,-1.1254051486998236,17.999529254381876,-1.3700896647289675,17.999928908918935,-1.284314022825169,17.999938197494536,-1.3793800902256277,17.9995397439206,-1.2743222932632612,18.887753794505628,-1.3547640535677652,16.299065284193308,30.04323739074347,785.3349501099924,0.0,17.999529254381876,26.433812071666747,1017.4654114194637,0.0,17.999928908918935,26.622286901374327,372.0867475021145,0.0,17.999938197494536,26.412724877812877,972.0823163880577,0.0,17.9995397439206,26.645064275228084,372.18305347021703,0.0,18.887753794505628,25.03396498477478,0.0,154.60927451671466,0.0,3049.1895464508193,0.0,0.0,1102.6420824370964,443.9011589185985,1052.7553350350527,451.397933374541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3049.1895464508193,3811.486933063524,0.0,0.0,7.22,7.22,0.0,0.0,45.211353524082824,0.019832667735321753,7.22,0.0,15.924291554094141,0.003486029536297071,-1.167801401233251,16.928772979967786,0.3705044250126874,0.003486029536297071,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.00621144618492455,0.0010028609043981412,11.5,-11.8875,0.00621144618492455,0.0010028609043981412,4.5,3083383.7567515783,1354960.257918031 
 01/01  03:00:00,-11.325,0.0,0.0,0.0,0.0,0.0,15.869805464733172,-1.5344495077728497,17.99992322998447,-1.739219602506478,17.99982641120039,-1.655544290753399,18.0002847880415,-1.7489805560226208,18.000667431953985,-1.6467637119323215,18.77979976039719,-1.8132869013310704,15.869805464733172,29.845424701015997,936.28290921644,0.0,17.99992322998447,25.632604576412252,1085.3045263296613,0.0,17.99982641120039,25.812314343382297,409.10358982490783,0.0,18.0002847880415,25.611152544764614,1039.056039019475,0.0,18.000667431953985,25.82986537768552,409.7935471057981,0.0,18.77979976039719,24.25852907873497,0.0,177.71303218033836,0.0,3392.065606670503,0.0,0.0,1202.3737757087351,507.7843796549506,1149.9190689058564,518.7465217463551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.065606670503,4240.082008338128,0.0,0.0,7.22,7.22,0.0,0.0,46.077887696774255,0.022592793536194075,7.22,0.0,15.522813233964495,0.003370042964493735,-1.5753317344115099,16.527508860324982,0.3705044250126874,0.003370042964493735,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.325,0.00621144618492455,0.0010552609473343869,11.5,-11.325,0.00621144618492455,0.0010552609473343869,4.5,3085955.831775791,1354960.257918031 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,15.47250710289714,-1.9013357386618508,17.999859596745925,-2.0862749884432956,17.99973520245205,-2.019641402660232,17.99996979736187,-2.0947740248952877,17.999845244078184,-2.0130832387238637,18.676578826339938,-2.1938231087966606,15.47250710289714,29.69222945221216,1077.5940416224764,0.0,17.999859596745925,24.900471778223565,1156.5561902954507,0.0,17.99973520245205,25.03980892731226,443.41208931335734,0.0,17.99996979736187,24.882600190489068,1109.273901113389,0.0,17.999845244078184,25.05336445138329,443.3495042901922,0.0,18.676578826339938,23.651172242352697,0.0,201.09224013591165,0.0,3731.4956446078077,0.0,0.0,1305.3688462618006,568.8713109972739,1250.1691410966164,581.7987861738904,0.0,0.0,1.3001714056198905,0.0,0.0,0.0,0.0,3731.4956446078077,4664.369555759759,0.0,0.0,7.22,7.22,0.0,0.0,47.02448202937973,0.02553063111775018,7.22,0.0,15.119139813161404,0.003267360087517164,-1.9486657745833162,16.127496680597936,0.3705044250126874,0.003267360087517164,16.0,82.0,0.0,0.000005575604904087823,0.0,7.22,0.0,-11.1,0.00621144618492455,0.001077079816545153,11.5,-11.1,0.00621144618492455,0.001077079816545153,4.5,3088696.0441390513,1354960.257918031 
 01/01  05:00:00,-10.7875,0.0,0.0,0.0,0.0,0.0,15.158989799920906,-2.2747798793614527,17.99966639077032,-2.4669477904818593,17.999766846491994,-2.3975397000567886,17.999487296617154,-2.475275256450214,18.000710440130096,-2.3897639474670687,18.576484266201863,-2.5971058150685673,15.158989799920906,29.36490022644249,1185.825316510716,0.0,17.99966639077032,24.11944640913228,1204.960480488548,0.0,17.999766846491994,24.260037119997246,466.74354918928003,0.0,17.999487296617154,24.102868692631226,1157.7716959020308,0.0,18.000710440130096,24.274414571402907,466.9717661277981,0.0,18.576484266201863,23.00894323125035,0.0,203.23401864805084,0.0,3951.1121313431113,0.0,0.0,1363.890207566744,600.7455581540335,1308.223019622173,614.9088964715129,0.0,0.0,74.80915020555423,0.0,0.0,0.0,0.0,3951.1121313431113,4938.890164178889,0.0,0.0,7.22,7.22,0.0,0.0,47.838551926071986,0.027667011130809063,7.22,0.0,14.794913550942347,0.0031696873375834525,-2.3096542144331558,15.99975113578007,0.3705044250126874,0.0031696873375834525,16.0,82.0,0.0,0.0003974884989180345,0.0,7.22,0.0,-10.7875,0.00621144618492455,0.0011077366177627828,11.5,-10.7875,0.00621144618492455,0.0011077366177627828,4.5,3090691.413300097,1354960.257918031 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.926423850041239,-2.6530329320610333,17.999983086527763,-2.8362400525385345,18.0000101417171,-2.7668077296153335,17.999899241707723,-2.8445473042908915,17.99976747863996,-2.7592363683795433,18.520952371083226,-2.979585265424402,14.926423850041239,28.877256853898203,1267.9689288819545,0.0,17.999983086527763,23.382351632300654,1225.7306348065176,0.0,18.0000101417171,23.519231814816596,476.56644610905363,0.0,17.999899241707723,23.366152224835037,1179.0580572224158,0.0,17.99976747863996,23.534563956964597,476.31666257480947,0.0,18.520952371083226,22.358481006804837,0.0,198.799767652973,0.0,4124.558854304096,0.0,0.0,1384.6355366083626,610.5438135085136,1329.4930233628797,624.1390380233495,0.0,0.0,166.37215811603244,0.0,0.0,0.0,0.0,4124.558854304096,5155.698567880119,0.0,0.0,7.22,7.22,0.0,0.0,48.27418875546102,0.029258027425435398,7.22,0.0,14.550364544811398,0.0030704124015978884,-2.6870684024235696,15.999972193706432,0.3705044250126874,0.0030704124015978884,16.0,82.0,0.0,0.0009569112153725635,0.0,7.22,0.0,-10.6,0.00621144618492455,0.0011263833763957194,11.5,-10.6,0.00621144618492455,0.0011263833763957194,4.5,3092176.4380369275,1354960.257918031 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.759364652264596,-3.933846117841636,18.002259389349234,-5.688204930397237,18.003293888632655,-7.171853239901289,18.003138256649812,-5.589783043275731,18.002436879772347,-7.419871920635407,18.455570083214972,-4.816448595067624,14.759364652264596,26.272577842314423,1326.0170229286646,0.0,18.002259389349234,18.461187619073037,1270.4978749855363,0.0,18.003293888632655,16.35866824959465,495.5608286059044,0.0,18.003138256649812,18.608476520069175,1223.1293894944163,0.0,18.002436879772347,16.029870847038932,495.14057332513295,0.0,18.455570083214972,19.26054359866681,0.0,202.9695417754392,0.0,14042.278977703898,0.0,0.0,1435.7854759927682,636.4371672509325,1379.6031519869282,650.6551593638915,0.0,4722.138677561708,3248.823925823654,0.0,0.0,0.0,0.0,14042.278977703898,17552.84872212987,0.0,0.0,7.22,7.22,0.0,0.0,64.14159877933717,0.18578097297037627,7.22,0.0,6.169057544263453,0.0014492049140921001,-11.307203296430384,15.88039576339105,0.3705044250126874,0.0014492049140921001,16.0,82.0,0.08507679071295093,0.06978256637435304,0.0,7.22,0.0,4.498856679637227,0.31057230924622753,0.0011650308833787495,11.5,4.498856679637227,0.31057230924622753,0.0011650308833787495,4.5,3239132.434523818,1354960.257918031 
 01/01  08:00:00,-10.225,0.0,0.0,0.0,0.0,0.0,14.644634895183351,-8.070942216005614,18.000703803433424,-9.375610222945276,18.000075578846673,-11.085009579076907,18.000813872396986,-9.20975347271688,17.999305786925603,-11.248887624442373,18.430360060157582,-7.570784568639874,14.644634895183351,18.54202080317706,1363.0445369143215,0.0,18.000703803433424,13.32903115890224,1212.767014286801,0.0,18.000075578846673,11.437789455012744,285.00162535827656,12.828393086905407,18.000813872396986,13.525807354943604,1170.0942416360592,0.0,17.999305786925603,11.269745634451708,472.51998777265374,0.0,18.430360060157582,15.195751611609412,0.0,191.37071463424246,0.0,11555.03095045774,0.0,0.0,1370.1788438466601,405.64945369238666,1319.0488528520218,619.7479063906362,0.0,4605.807299972204,3301.051977512805,0.0,0.0,0.0,0.0,11555.03095045774,14443.788688072176,0.0,0.0,7.22,7.22,0.0,0.0,65.81044114189582,0.17037298885220137,7.22,0.0,6.146956907165011,0.0013718375541200178,-11.91718632061049,15.999612249476934,0.3705044250126874,0.0013718375541200178,16.0,82.0,0.07638120298929912,0.06789409390765104,0.0,7.22,0.0,4.500164358629501,0.31057230924622753,0.001228779734699374,11.5,4.500164358629501,0.31057230924622753,0.001228779734699374,4.5,3224851.7138806055,1354960.257918031 
 01/01  09:00:00,-9.3125,11.0,5.0,11.0,5.0,20.0,15.506173303564099,-9.154291184269145,19.84146732549246,-8.2685636747656,20.34433632997657,-9.293241686785924,19.83786811770218,-8.132782264318593,19.85203317333331,-9.524051201016082,20.446779364599188,-6.477679995839666,15.5061733035641,15.899102061633066,2998.808272067252,0.0,19.84146732549246,13.08693319664885,1238.243236949746,45.35276008899496,20.34433632997657,11.586814019799634,82.42229624850225,231.40404818039448,19.837868117702183,13.246032646409171,1255.6355327984254,39.74902383560209,19.85203317333331,11.708745906426685,587.1362250114562,38.07338608417888,20.446779364599188,14.727388409220524,306.0616476630194,289.99778384760225,0.0,11793.525897105654,0.0,0.0,1495.902048227103,141.21773317724066,1502.337655601922,832.5442840491241,365.64818514380863,4320.608877688528,3258.301789240618,0.0,0.0,0.0,0.0,11793.525897105654,14741.907371382065,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,67.33164829824258,0.19813065424419835,7.219999999999999,0.0,6.261571573905146,0.0013429675011349803,-12.151717177110616,16.000209495342588,0.3705044250126874,0.0013429675011349803,16.0,82.0,0.06614912791730596,0.06539945383595945,0.0,7.219999999999999,0.0,4.499884156765205,0.31057230924622753,0.0012669800424808767,11.5,4.499884156765205,0.31057230924622753,0.0012669800424808767,4.5,33041113.388192356,1354960.257918031 
 01/01  10:00:00,-7.525,11.0,5.0,11.0,5.0,20.0,16.6560671199377,-6.351161771832232,20.537135981033984,-4.950072392887615,22.577175430710046,-6.162537374022188,20.500890032660543,-4.789341415815384,20.501195122466804,-6.887306297246487,21.849557827640595,-2.8542838178715577,16.6560671199377,18.889394253037832,3076.273354583917,0.0,20.537135981033984,16.703339457465855,24.74393440530588,213.59555706569205,22.577175430710046,13.274606438422992,0.0,439.93479480236755,20.500890032660543,16.975299854246863,110.14256877959735,23.70334274542168,20.501195122466804,14.162183871329827,41.3628939587375,22.37668661154416,21.849557827640595,18.40855698919832,0.0,461.2450845244867,0.0,7888.637237936121,0.0,0.0,170.87078005777627,0.0,423.74969896091045,350.7002937313857,0.0,3761.636829700297,3189.6634943928448,0.0,0.0,0.0,0.0,7888.637237936121,9860.796547420152,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,65.83692096799996,0.11642961872010978,7.219999999999999,0.0,6.446882570809448,0.0014353627711476587,-11.4166095820617,15.999986402763923,0.3705044250126874,0.0014353627711476587,16.0,82.0,0.04969042492021708,0.06159177377099101,0.0,7.219999999999999,0.0,4.49978499713045,0.31057230924622753,0.00129622204152932,11.5,4.49978499713045,0.31057230924622753,0.00129622204152932,4.5,43314228.00763847,1354960.257918031 
