Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),PLENUM-1:Zone Mean Air Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Relative Humidity [%](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Relative Humidity [%](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Relative Humidity [%](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Relative Humidity [%](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Relative Humidity [%](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,-8.2625,0.0,0.0,0.0,0.0,0.0,16.90707752186067,-1.0038919470764032,17.37181388265773,-1.220422746559708,17.59920334820755,-1.14859909902365,17.39145678519568,-1.227092868012583,17.600807254080976,-1.1418009883580442,19.195291229100974,-1.032440410338727,16.90707752186067,29.197067425122583,478.30140479926627,0.0,17.37181388265773,27.845404818657734,19.55110002031222,0.0,17.59920334820755,27.612240679599957,1.2432184197758147,0.0,17.39145678519568,27.795350124507255,17.030737138854022,0.0,17.600807254080976,27.625046982324957,1.2532129083983818,0.0,19.195291229100974,25.223980819033386,0.0,124.52811366300557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22,0.0,0.0,60.82141277671812,0.0,7.22,0.0,16.61333435320993,0.0035238350877805627,-1.068646589253502,17.617745978555902,0.3705044250126874,0.0035238350877805627,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-8.2625,0.00621144618492455,0.001422288734241492,11.5,-8.2625,0.00621144618492455,0.001422288734241492,4.5,3064960.257918031,1354960.257918031 
 01/01  02:00:00,-11.8875,0.0,0.0,0.0,0.0,0.0,16.321306103731988,-1.324440870543633,16.816165579568445,-1.5683901543555203,17.075165490129702,-1.482910742489035,16.841552123846014,-1.577265561725457,17.07517458226996,-1.4729410158407195,18.928775135813,-1.5458917677296178,16.321306103731988,29.508695553594958,501.2687934019102,0.0,16.816165579568445,28.019340882390992,29.243350125627273,0.0,17.075165490129702,27.759655362286768,0.08428494388977015,4.4723119532141595,16.841552123846014,27.95350992862248,12.652940484213445,0.0,17.07517458226996,27.78268869753211,0.07672283094905197,4.91953803364521,18.928775135813,24.575481198218746,0.0,151.44413223758693,0.0,5.278725157161115,0.0,0.0,13.860920415184827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.278725157161115,6.598406446451393,0.0,0.0,7.22,7.22,0.0,0.0,60.79579902235943,0.00005926467836689275,7.22,0.0,16.005113259679238,0.0034285253952825168,-1.366787267379843,17.00970087103186,0.3705044250126874,0.0034285253952825168,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.00621144618492455,0.0010028609043981412,11.5,-11.8875,0.00621144618492455,0.0010028609043981412,4.5,3065015.7201315816,1354960.257918031 
 01/01  03:00:00,-11.325,0.0,0.0,0.0,0.0,0.0,15.674563634368093,-1.729063958674661,16.700033467482854,-1.9323112081456375,16.752208296334537,-1.8492333901184774,16.700280818341646,-1.9418793715469151,16.751548920648194,-1.8405113942349323,18.731130899578613,-2.0029274857632835,15.674563634368093,29.73466983424971,638.354781223911,0.0,16.700033467482854,27.3834611772874,200.8464438030888,0.0,16.752208296334537,27.48232657817603,6.068080219307944,12.228767785693208,16.700280818341646,27.361148491831923,170.10439093945536,0.0,16.751548920648194,27.503520672306422,6.280542750242319,12.48298135187025,18.731130899578613,23.949867234924998,0.0,185.11521437588766,0.0,221.10508628507785,0.0,0.0,225.9055416362266,18.462355104321794,193.8466066612921,20.919937941549634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.10508628507785,276.3813578563473,0.0,0.0,7.22,7.22,0.0,0.0,58.16351736170361,0.002168167877069072,7.22,0.0,15.380001161535318,0.0033155458663106253,-1.7698195682676594,16.384797463035333,0.3705044250126874,0.0033155458663106253,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.325,0.00621144618492455,0.0010552609473343869,11.5,-11.325,0.00621144618492455,0.0010552609473343869,4.5,3066986.0711932974,1354960.257918031 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,15.135251718900562,-2.0918210960965866,16.6998613966172,-2.2748474308695137,16.699509674085107,-2.2088806297374552,16.70015555876869,-2.283224375149985,16.700192565879426,-2.2024001690448727,18.56339329237256,-2.380818797074128,15.135251718900562,29.863419222687632,811.4078917988538,0.0,16.6998613966172,26.610461997365576,341.84183953648983,0.0,16.699509674085107,26.75847776004061,77.26752943349987,0.0,16.70015555876869,26.59129501517088,312.4336183280118,0.0,16.700192565879426,26.77184086246384,77.59589361894331,0.0,18.56339329237256,23.44911029475023,0.0,202.15329326773923,0.0,727.6136743855951,0.0,0.0,397.40836572433875,124.09648648288251,365.06193722649056,129.32117903102784,0.0,0.0,67.4597475287087,0.0,0.0,0.0,0.0,727.6136743855951,909.517092981994,0.0,0.0,7.22,7.22,0.0,0.0,50.64845210279715,0.005475920669859288,7.22,0.0,14.815513919518201,0.003215531720458333,-2.1389190718879765,16.000628289903027,0.3705044250126874,0.003215531720458333,16.0,82.0,0.0,0.00036570887232424893,0.0,7.22,0.0,-11.1,0.00621144618492455,0.001077079816545153,11.5,-11.1,0.00621144618492455,0.001077079816545153,4.5,3070058.5526126623,1354960.257918031 
 01/01  05:00:00,-10.7875,0.0,0.0,0.0,0.0,0.0,14.719905819383886,-2.4609191842176745,16.69994490301094,-2.6507397678397755,16.699777186806063,-2.582264791015516,16.6999412092661,-2.6589513969379595,16.700181158469153,-2.5746015493680643,18.432110700399228,-2.7802594918476355,14.719905819383886,29.73983914932306,955.155642373684,0.0,16.69994490301094,25.784541992537985,424.6527784838497,0.0,16.699777186806063,25.933459043052995,124.29874466490878,0.0,16.6999412092661,25.766770768856183,395.33580252027906,0.0,16.700181158469153,25.949470126695275,124.17585884138856,0.0,18.432110700399228,22.8634477266503,0.0,191.82395842319607,0.0,1380.7117076762988,0.0,0.0,480.2845669785214,171.19158444521656,448.00377922772174,175.95077373977944,0.0,0.0,228.0686880167063,0.0,0.0,0.0,0.0,1380.7117076762988,1725.8896345953735,0.0,0.0,7.22,7.22,0.0,0.0,44.334787366342994,0.008747976161369499,7.22,0.0,14.385583104384878,0.0031204033616503597,-2.49564140737719,15.99982696565432,0.3705044250126874,0.0031204033616503597,16.0,82.0,0.0,0.0013690646927318581,0.0,7.22,0.0,-10.7875,0.00621144618492455,0.0011077366177627828,11.5,-10.7875,0.00621144618492455,0.0011077366177627828,4.5,3073083.431693625,1354960.257918031 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.410757756411456,-2.8346298131778283,16.7000008579569,-3.015368240702309,16.70042502932484,-2.9469836811973713,16.699912486157427,-3.0235538287667385,16.700381130119457,-2.9395280784700772,18.352503905785447,-3.1584414156482614,14.410757756411456,29.402628423029014,1063.9013826103367,0.0,16.7000008579569,25.0057350121607,463.91681416236526,0.0,16.70042502932484,25.149454853847015,145.36343593493598,0.0,16.699912486157427,24.98864452828011,434.3345959583228,0.0,16.700381130119457,25.16531390424121,145.28793944687953,0.0,18.352503905785447,22.257874766333373,0.0,185.5042824994798,0.0,1913.0857649769816,0.0,0.0,519.5348662890387,192.28411026769123,486.983390955141,197.06044008000575,0.0,0.0,349.8238238293601,0.0,0.0,0.0,0.0,1913.0857649769816,2391.357206221227,0.0,0.0,7.22,7.22,0.0,0.0,45.7823083851504,0.01267120080202632,7.22,0.0,14.060179315672158,0.003023707563923118,-2.8685101908061315,15.999926666149138,0.3705044250126874,0.003023707563923118,16.0,82.0,0.0,0.0022359086904010696,0.0,7.22,0.0,-10.6,0.00621144618492455,0.0011263833763957194,11.5,-10.6,0.00621144618492455,0.0011263833763957194,4.5,3076734.6898135566,1354960.257918031 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.68823155660271,-4.466116425381736,19.766016235414853,-5.63378142925774,20.252072805273613,-7.127511005014433,19.69831650751142,-5.537954740553302,20.272853503561244,-7.386269245170245,20.41140966938014,-4.80839047828228,14.68823155660271,25.26124857758146,1989.6408278383938,0.0,19.766016235414853,16.708989010990447,3436.367570044283,0.0,20.252072805273613,14.405770435019143,1713.8250694634544,0.0,19.69831650751142,16.90519906651874,3306.0185290812756,0.0,20.272853503561244,14.090549149105367,1721.3653801598296,0.0,20.41140966938014,17.115578380574387,2875.84596721862,0.0,0.0,24346.519569691,0.0,0.0,3730.5020753890417,1997.427162667655,3579.195840556638,2036.2297039697237,3218.869308983929,4722.663178401674,3291.3377561695943,0.0,0.0,0.0,0.0,23518.472146590575,29398.090183238215,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,70.86140544911778,0.5199604042427144,7.219999999999999,0.0,6.142150864015312,0.0014161571223577402,-11.56417526733529,15.967976325963523,0.3705044250126874,0.0014161571223577402,16.0,81.63387316566454,0.08172317118598266,0.06873392915271546,0.0,7.219999999999999,0.0,4.5005337317731655,0.31057230924622753,0.0011650308833787495,11.5,4.5005337317731655,0.31057230924622753,0.0011650308833787495,4.5,3554354.772596103,1354960.257918031 
 01/01  08:00:00,-10.225,0.0,0.0,0.0,0.0,0.0,15.34961621994236,-8.078715352978202,21.299083943640774,-9.1347170224545,21.939908667091707,-10.98033256517361,21.214932819028494,-8.966070001347667,21.889841641169134,-11.177183624740175,21.60521172801722,-7.3655195897488825,15.34961621994236,17.721832105388856,2347.7687168432985,0.0,21.299083943640774,11.113534227308186,3337.300024640398,0.0,21.939908667091707,9.058606424372126,1440.2623209966616,0.0,21.214932819028494,11.338095121363432,3213.726916099157,0.0,21.889841641169134,8.923753431386121,1601.2285630245262,0.0,21.60521172801722,12.720856104227089,2802.74384551231,0.0,0.0,22160.819520483743,0.0,0.0,3754.256692174363,1836.5031690731137,3601.950491454507,2034.8844935465886,3239.656065792991,4605.807274609079,3265.7447300264575,0.0,0.0,0.0,0.0,22160.819520483743,27701.024400604674,0.0,0.0,7.22,7.22,0.0,0.0,71.46484052546555,0.501861864499934,7.22,0.0,6.241587677811464,0.0013595530779492969,-12.016380074840628,15.999867281304983,0.3705044250126874,0.0013595530779492969,16.0,82.0,0.07638120196846077,0.06581088533486812,0.0,7.22,0.0,4.500164277537752,0.31057230924622753,0.001228779734699374,11.5,4.500164277537752,0.31057230924622753,0.001228779734699374,4.5,3537489.7255802928,1354960.257918031 
 01/01  09:00:00,-9.3125,11.0,5.0,11.0,5.0,20.0,16.524063203157173,-8.573465599308705,22.200487890926766,-6.792102494992954,22.20061984475341,-8.04783654547263,22.196173298725785,-6.6594848506486395,22.200306601491178,-8.227000306815858,22.200066513939873,-5.1801560268527815,16.524063203157173,15.70533891600313,3459.002124461658,0.0,22.200487890926766,12.96491036428764,1790.7561208093166,0.0,22.20061984475341,11.605516543250022,74.65192700920633,141.62842058421268,22.196173298725785,13.118256847911374,1815.0150442942893,0.0,22.200306601491178,11.419218820378413,724.5992358024828,0.0,22.200066513939873,14.889360247475622,308.4912974747302,26.35402853710525,0.0,13993.417879980412,0.0,0.0,2279.745942801376,347.22735481727926,2277.395001239077,1180.9464835157842,769.2142198075484,4320.60887768853,3201.7607845782322,0.0,0.0,0.0,0.0,13993.417879980412,17491.772349975516,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,65.28971202418961,0.2047631600043918,7.219999999999999,0.0,6.412923270040857,0.001348088206833549,-12.11003129486506,15.999976673750837,0.3705044250126874,0.001348088206833549,16.0,82.0,0.06614912791730598,0.06224266672470796,0.0,7.219999999999999,0.0,4.499884156765209,0.31057230924622753,0.001266980042480877,11.5,4.499884156765209,0.31057230924622753,0.001266980042480877,4.5,33047114.08978292,1354960.257918031 
 01/01  10:00:00,-7.525,11.0,5.0,11.0,5.0,20.0,17.560726590821602,-4.7036007336049686,22.20130205962794,-3.183942975334145,23.26070389281581,-5.138628230163194,22.202046836616105,-2.991849617009529,22.20117843186501,-5.6634999121704785,22.631799175516775,-1.1540374275046446,17.560726590821602,20.557968945991938,3240.050939655052,0.0,22.20130205962794,17.527810578596604,391.686659307356,0.0,23.26070389281581,13.907321400895567,0.0,485.82129274966854,22.202046836616105,17.81437095115934,708.1756192043824,0.0,22.20117843186501,14.18187821161819,279.0690334936116,0.0,22.631799175516775,20.244628752566218,0.0,523.3338244512775,0.0,9606.346412160972,0.0,0.0,881.8667451023623,0.0,1171.3338273440568,735.6657285392936,0.0,3761.6368297002964,3137.1410262311447,0.0,0.0,0.0,0.0,9606.346412160972,12007.933015201213,0.0,0.0,7.22,7.22,0.0,0.0,63.977694974853186,0.1273859750976316,7.22,0.0,6.588772925351121,0.0014861461012972157,-11.031195650804918,16.00029264597473,0.3705044250126874,0.0014861461012972157,16.0,82.0,0.04969042492021704,0.058869423137152765,0.0,7.22,0.0,4.499784997130446,0.31057230924622753,0.00129622204152932,11.5,4.499784997130446,0.31057230924622753,0.00129622204152932,4.5,43324387.75587981,1354960.257918031 
