Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),PLENUM-1:Zone Mean Air Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Relative Humidity [%](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Relative Humidity [%](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Relative Humidity [%](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Relative Humidity [%](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Relative Humidity [%](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,-8.2625,0.0,0.0,0.0,0.0,0.0,16.90647527965833,-0.9607268073433561,17.371645337685045,-1.179219864909852,17.598989166790005,-1.1061759846149926,17.391299944119087,-1.1861017352656802,17.60056477173891,-1.0992993529033486,19.195192961968246,-0.9857258391817852,16.90647527965833,29.30291034016159,478.4691921263891,0.0,17.371645337685045,27.941189512214258,19.51360783341778,0.0,17.598989166790005,27.710056092585766,1.2143235494478972,0.0,17.391299944119087,27.89045644391798,16.99432730431272,0.0,17.60056477173891,27.723132986383604,1.2234189806586073,0.0,19.195192961968246,25.322093433314052,0.0,124.57456755483304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22,0.0,0.0,60.82207633070313,0.0,7.22,0.0,16.612712187568448,0.0035365173177592225,-1.0256022881172757,17.617100400528983,0.3705044250126874,0.0035365173177592225,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-8.2625,0.00621144618492455,0.001422288734241492,11.5,-8.2625,0.00621144618492455,0.001422288734241492,4.5,3064960.257918031,1354960.257918031 
 01/01  02:00:00,-11.8875,0.0,0.0,0.0,0.0,0.0,16.320840036415078,-1.2818896455948787,16.8160270235345,-1.5269150628307497,17.074986076071788,-1.4407727936916288,16.841420205149536,-1.5359132280854086,17.074977253713616,-1.4307637065061312,18.928672151387737,-1.5017774942839501,16.320840036415078,29.614159585988318,501.395187152458,0.0,16.8160270235345,28.11655524795567,29.215019094061006,0.0,17.074986076071788,27.857515659135164,0.07827564681514332,4.487912036819125,16.841420205149536,28.050203008954846,12.625492140388872,0.0,17.074977253713616,27.880746678314438,0.07048276537506126,4.93581872147945,18.928672151387737,24.666101705139035,0.0,151.47904413885624,0.0,5.278561843125094,0.0,0.0,13.861017992472238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.278561843125094,6.598202303906367,0.0,0.0,7.22,7.22,0.0,0.0,60.79646179129175,0.00005926467836689275,7.22,0.0,16.00463543580167,0.0034407148942587496,-1.3243518283286992,17.009200536495978,0.3705044250126874,0.0034407148942587496,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.00621144618492455,0.0010028609043981412,11.5,-11.8875,0.00621144618492455,0.0010028609043981412,4.5,3065015.7201517066,1354960.257918031 
 01/01  03:00:00,-11.325,0.0,0.0,0.0,0.0,0.0,15.674202248547681,-1.6871200619890834,16.699916218939148,-1.8910751579227179,16.75264786394925,-1.8076149659844503,16.70016725774064,-1.900714825734865,16.751386648702493,-1.7988677431826403,18.731034694956406,-1.9604937238934936,15.674202248547681,29.83955280353458,638.4528253621445,0.0,16.699916218939148,27.478142503671776,200.825532395611,0.0,16.75264786394925,27.57720296843816,6.564704879056819,12.241546010000775,16.70016725774064,27.45558908225879,170.08418062920532,0.0,16.751386648702493,27.599569618749562,6.276624647057361,12.496401187384947,18.731034694956406,24.03509335985382,0.0,185.1424427436138,0.0,221.40369504139204,0.0,0.0,225.90695110243666,19.00234682101546,193.84780688641206,20.9200539317787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.40369504139204,276.75461880174004,0.0,0.0,7.22,7.22,0.0,0.0,58.163371497192294,0.002170858053554008,7.22,0.0,15.379632240871805,0.00332720085075498,-1.727979771031819,16.384407009850737,0.3705044250126874,0.00332720085075498,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.325,0.00621144618492455,0.0010552609473343869,11.5,-11.325,0.00621144618492455,0.0010552609473343869,4.5,3066988.5819907133,1354960.257918031 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,15.134990701919367,-2.050522952304232,16.69977968224153,-2.2340838228686333,16.699797892316973,-2.1678747644194436,16.70007551294881,-2.242504271256435,16.700086995382545,-2.161375960980757,18.563319858821572,-2.3395821335112705,15.134990701919367,29.96723162429144,811.5268470422379,0.0,16.69977968224153,26.70159052264692,341.840631276942,0.0,16.699797892316973,26.84999756212536,77.21090079013214,0.0,16.70007551294881,26.682263364743225,312.43230526738034,0.0,16.700086995382545,26.86409959550022,77.59608021552242,0.0,18.563319858821572,23.530395682445914,0.0,202.15881372812964,0.0,727.7678859398575,0.0,0.0,397.4091074187673,124.06622614186077,365.0626053767265,129.3213455942188,0.0,0.0,67.53729114309411,0.0,0.0,0.0,0.0,727.7678859398575,909.7098574248218,0.0,0.0,7.22,7.22,0.0,0.0,50.64660558515512,0.005476378088522677,7.22,0.0,14.81524016271444,0.0032266883643202117,-2.097728193513078,16.000537302826377,0.3705044250126874,0.0032266883643202117,16.0,82.0,0.0,0.0003661662909876373,0.0,7.22,0.0,-11.1,0.00621144618492455,0.001077079816545153,11.5,-11.1,0.00621144618492455,0.001077079816545153,4.5,3070058.968935639,1354960.257918031 
 01/01  05:00:00,-10.7875,0.0,0.0,0.0,0.0,0.0,14.719750599443318,-2.4203536298808768,16.699895636316544,-2.610664988086054,16.699973789466622,-2.54199052853677,16.700437921875043,-2.618907709237746,16.70012193656199,-2.534307963149587,18.432064831090663,-2.740105919946539,14.719750599443318,29.84147177269216,955.2843945078871,0.0,16.699895636316544,25.871540473736978,424.6559315254231,0.0,16.699973789466622,26.020943000394816,124.28473536921439,0.0,16.700437921875043,25.85274532300841,395.8022092121094,0.0,16.70012193656199,26.03746961060571,124.17930773941322,0.0,18.432064831090663,22.94081209861667,0.0,191.82401284220862,0.0,1381.1611802749583,0.0,0.0,480.2849490255637,171.19163918355022,448.50865232747014,175.95082675799574,0.0,0.0,228.14270737169792,0.0,0.0,0.0,0.0,1381.1611802749583,1726.4514753436977,0.0,0.0,7.22,7.22,0.0,0.0,44.327700627839604,0.008749235730004827,7.22,0.0,14.38541749346376,0.00313106977582432,-2.4551609868866153,15.999827383274877,0.3705044250126874,0.00313106977582432,16.0,82.0,0.0,0.0013695668222172665,0.0,7.22,0.0,-10.7875,0.00621144618492455,0.0011077366177627828,11.5,-10.7875,0.00621144618492455,0.0011077366177627828,4.5,3073084.5786933415,1354960.257918031 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.410644843546756,-2.794871400695705,16.69996887718729,-2.9760650783790696,16.700493729394367,-2.90749853254627,16.699970249760057,-2.9842759859892487,16.700346560962437,-2.900024349459342,18.3524787390701,-3.1192759259241463,14.410644843546756,29.501307578941574,1063.9658516220052,0.0,16.69996887718729,25.08867882000545,463.9186923580233,0.0,16.700493729394367,25.23305750954493,145.35804473715757,0.0,16.699970249760057,25.0713402164504,434.3296062437487,0.0,16.700346560962437,25.24916969073249,145.28961685955045,0.0,18.3524787390701,22.33151365033158,0.0,185.50566905433595,0.0,1913.5869322176175,0.0,0.0,519.5352996092494,192.28417763465558,486.9837912618718,197.06050492554414,0.0,0.0,349.87938793508124,0.0,0.0,0.0,0.0,1913.5869322176175,2391.9836652720214,0.0,0.0,7.22,7.22,0.0,0.0,45.784794069445525,0.012675439284276866,7.22,0.0,14.060067383837636,0.0030338651501867786,-2.8288314533021652,15.999926920025988,0.3705044250126874,0.0030338651501867786,16.0,82.0,0.0,0.0022363231915493976,0.0,7.22,0.0,-10.6,0.00621144618492455,0.0011263833763957194,11.5,-10.6,0.00621144618492455,0.0011263833763957194,4.5,3076738.64253913,1354960.257918031 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,14.688164717180127,-4.430457848601666,19.76604857252991,-5.601439360928616,20.25214537389064,-7.099912700026786,19.69839098219535,-5.505331086004395,20.272873923292885,-7.359552994966037,20.41142637952165,-4.773526335238085,14.688164717180127,25.33855948955962,1989.7111104423552,0.0,19.76604857252991,16.75607292241257,3436.4188485178975,0.0,20.25214537389064,14.4416038340881,1713.8425744946665,0.0,19.69839098219535,16.953115727979718,3306.0653290803175,0.0,20.272873923292885,14.12477412157974,1721.385682095249,0.0,20.41142637952165,17.16682154731199,2875.893932281252,0.0,0.0,24345.889170292692,0.0,0.0,3730.5185003795523,1997.4349577907778,3579.2116798782376,2036.2375412407966,3218.882833674306,4722.662467993264,3291.3522745678447,0.0,0.0,0.0,0.0,23518.33488175884,29397.918602198544,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,70.86166693234514,0.5199598905277286,7.219999999999999,0.0,6.142159026341723,0.0014175321860835188,-11.553410518794884,15.967998455940673,0.3705044250126874,0.0014175321860835188,16.0,81.63408794491767,0.08172245322937764,0.06873413339433482,0.0,7.219999999999999,0.0,4.5005314602938356,0.31057230924622753,0.0011650308833787495,11.5,4.5005314602938356,0.31057230924622753,0.0011650308833787495,4.5,3554354.363652503,1354960.257918031 
 01/01  08:00:00,-10.225,0.0,0.0,0.0,0.0,0.0,15.34957804727261,-8.054461041278985,21.29910775519663,-9.114697309795702,21.939937910413246,-10.968278309971964,21.214978596648656,-8.945384523213702,21.889843933726382,-11.16606547666336,21.60523177521886,-7.338819336117055,15.34957804727261,17.759966177190687,2347.8112616386798,0.0,21.29910775519663,11.133415359481159,3337.3159461866308,0.0,21.939937910413246,9.068521238748431,1440.2631354390346,0.0,21.214978596648656,11.358996713291994,3213.7415852904974,0.0,21.889843933726382,8.932777010112382,1601.2308702716239,0.0,21.60523177521886,12.750600634197827,2802.765339135819,0.0,0.0,22160.83066933447,0.0,0.0,3754.2592928970953,1836.503782342158,3601.9530412091876,2034.88514159053,3239.657872264927,4605.807274652803,3265.7476917539598,0.0,0.0,0.0,0.0,22160.83066933447,27701.038336668087,0.0,0.0,7.22,7.22,0.0,0.0,71.46483891606859,0.5018620404809431,7.22,0.0,6.241593680312414,0.0013603202572278622,-12.010151543310227,15.999867395930089,0.3705044250126874,0.0013603202572278622,16.0,82.0,0.07638120197022061,0.0658110613141174,0.0,7.22,0.0,4.500164277677548,0.31057230924622753,0.001228779734699374,11.5,4.500164277677548,0.31057230924622753,0.001228779734699374,4.5,3537489.8908222094,1354960.257918031 
 01/01  09:00:00,-9.3125,11.0,5.0,11.0,5.0,20.0,16.52403920168128,-8.560175465528028,22.2004974795956,-6.783556087807,22.200630497582495,-8.043682018197556,22.196194566181198,-6.650418557166596,22.20030546788242,-8.223148335647982,22.20007207561732,-5.165437014132283,16.52403920168128,15.72347446526431,3459.0249971945223,0.0,22.2004974795956,12.974141843214928,1790.760102454717,0.0,22.200630497582495,11.6095777413388,74.6516694328812,141.62915885570308,22.196194566181198,13.128153456031642,1815.0187012271665,0.0,22.20030546788242,11.422945184404597,724.599589164781,0.0,22.20007207561732,14.90757531858868,308.49249248115876,26.35423107102997,0.0,13993.420695475805,0.0,0.0,2279.7463692203482,347.227372201956,2277.395463054825,1180.946618777615,769.2142856743153,4320.60887768853,3201.7622849313266,0.0,0.0,0.0,0.0,13993.420695475805,17491.775869344758,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,65.28971577020091,0.20476324335960858,7.219999999999999,0.0,6.412926071860202,0.001348470319796364,-12.10689220307535,15.999976729605041,0.3705044250126874,0.001348470319796364,16.0,82.0,0.06614912791730598,0.06224275007992473,0.0,7.219999999999999,0.0,4.499884156765209,0.31057230924622753,0.001266980042480877,11.5,4.499884156765209,0.31057230924622753,0.001266980042480877,4.5,33047114.168364707,1354960.257918031 
 01/01  10:00:00,-7.525,11.0,5.0,11.0,5.0,20.0,17.560709600359008,-4.698381267060588,22.20130323248467,-3.1809311098671134,23.260708138362386,-5.137123330559495,22.202054380007517,-2.9886035314811483,22.201176526588927,-5.662039971530348,22.631797026307165,-1.1476066635235482,17.560709600359008,20.566995870566863,3240.062235199049,0.0,22.20130323248467,17.532202005107273,391.68691001491436,0.0,23.260708138362386,13.909102078749687,0.0,485.82187939097537,22.202054380007517,17.819166300328607,708.1758498668453,0.0,22.201176526588927,14.183646766215828,279.069090212221,0.0,22.631797026307165,20.25530813433574,0.0,523.3355319519038,0.0,9606.347433609948,0.0,0.0,881.8667790148247,0.0,1171.3338878653637,735.6657524506745,0.0,3761.6368297002964,3137.141934564124,0.0,0.0,0.0,0.0,9606.347433609948,12007.934292012433,0.0,0.0,7.22,7.22,0.0,0.0,63.97769970106182,0.12738602206907124,7.22,0.0,6.588774092029393,0.0014863513204568198,-11.029646662004307,16.000292678906632,0.3705044250126874,0.0014863513204568198,16.0,82.0,0.04969042492021704,0.05886947010859239,0.0,7.22,0.0,4.499784997130446,0.31057230924622753,0.00129622204152932,11.5,4.499784997130446,0.31057230924622753,0.00129622204152932,4.5,43324387.80022816,1354960.257918031 
